,Asset 1,Asset 2,p-value,Start Time,End Time,Train Days,Test Days,Train Wallet,Test Wallet,Parameters,Train Sharpe Ratio,Test Sharpe Ratio,Backtesting_Period
24,STEEMUSDT,SUNUSDT,4.2972515075436406e-7,1727740799999,1740700799999,150,50,12057.886694353787,9233.968279650335,"[2.0, 50]",0.086245603882152,-0.13391336943164817,3
25,COTIUSDT,VICUSDT,5.702944040127338e-7,1727740799999,1740700799999,150,50,14858.258417087414,10665.31770241943,"[2.0, 50]",0.1594503054658143,0.07894091880006784,3
26,JUVUSDT,USTCUSDT,5.900668654069182e-7,1727740799999,1740700799999,150,50,13427.453702506098,10117.488565533959,"[2.0, 50]",0.05894483497256489,0.025846652780192728,3
27,BAKEUSDT,JUVUSDT,6.296270666726597e-7,1727740799999,1740700799999,150,50,16227.775294084971,9822.631855331396,"[2.0, 50]",0.08774042625691408,-0.17992064041202718,3
28,1MBABYDOGEUSDT,ORCAUSDT,7.783878685230792e-7,1727740799999,1740700799999,150,50,10000,14365.427866512036,"[2.0, 50]",-Infinity,0.2827648619882066,3
29,IQUSDT,SCUSDT,8.582741161846339e-7,1727740799999,1740700799999,150,50,12797.562371472577,12337.198148878293,"[2.0, 50]",0.15638321989831785,0.21416557694346713,3
30,MEUSDT,UTKUSDT,9.302104084520878e-7,1727740799999,1740700799999,150,50,10000,10106.725958829587,"[2.0, 50]",-Infinity,0.022221550774600977,3
31,ACEUSDT,TRBUSDT,0.000001011006305008205,1727740799999,1740700799999,150,50,10068.347663513103,9778.751963875944,"[2.0, 50]",-0.0039002647122294344,-0.09003141797162216,3
32,BTTCUSDT,TUSDT,0.0000012855149802653739,1727740799999,1740700799999,150,50,13096.086036713417,10773.166227180118,"[2.0, 50]",0.16153534528345898,0.20646250234240718,3
33,ALPHAUSDT,RADUSDT,0.0000012988387324378187,1727740799999,1740700799999,150,50,10625.301370823565,11365.399018586118,"[2.0, 50]",0.026939545643357165,0.1596955589180506,3
34,ALPHAUSDT,ARPAUSDT,0.0000014994460704742387,1727740799999,1740700799999,150,50,14734.493032253546,10014.216326110738,"[2.0, 50]",0.15585434674416648,-0.027638476561602638,3
35,GASUSDT,IQUSDT,0.0000016677798388987192,1727740799999,1740700799999,150,50,13448.837445697684,13747.625838152737,"[2.0, 50]",0.19257150309100607,0.2070188499259472,3
36,PNUTUSDT,TRBUSDT,0.0000017750475996001128,1727740799999,1740700799999,150,50,10000,10336.272251515948,"[2.0, 50]",-Infinity,0.033822482160396204,3
37,DGBUSDT,XTZUSDT,0.0000019386267970032717,1727740799999,1740700799999,150,50,19019.006832236963,8001.855568453867,"[2.0, 50]",0.18304220699855225,-0.14511211853733325,3
38,DEGOUSDT,ZROUSDT,0.0000019463923072058077,1727740799999,1740700799999,150,50,10777.3605203882,9456.194141014701,"[2.0, 50]",0.0303776028068996,-0.02008714683222126,3
39,ENJUSDT,GLMRUSDT,0.0000020390375192982625,1727740799999,1740700799999,150,50,13991.610284072876,9914.526049549353,"[2.0, 50]",0.14808216603585625,-0.03908137292256604,3
40,SUNUSDT,THETAUSDT,0.0000023824411934496873,1727740799999,1740700799999,150,50,10699.171050885941,10343.46598979629,"[2.0, 50]",0.024846530239672957,0.057455444394413066,3
41,RAREUSDT,STXUSDT,0.0000024702539954054145,1727740799999,1740700799999,150,50,10108.745637472033,8828.366323830018,"[2.0, 50]",-0.003929817586043153,-0.04473191631328249,3
42,KAVAUSDT,QTUMUSDT,0.0000027431275713922895,1727740799999,1740700799999,150,50,14781.346426998236,9318.797332802978,"[2.0, 50]",0.21393433492187783,-0.10105937605825176,3
43,LQTYUSDT,ORCAUSDT,0.000003489644756620386,1727740799999,1740700799999,150,50,10000,12391.87710269625,"[2.0, 50]",-Infinity,0.1474176969709678,3
44,ASRUSDT,DOGSUSDT,0.0000035144676013131384,1727740799999,1740700799999,150,50,9676.922765419473,10032.33419467413,"[2.0, 50]",-0.028766877902927562,0.0037963867155811327,3
45,BSWUSDT,CHRUSDT,0.000003945631103377922,1727740799999,1740700799999,150,50,12968.305679160001,9200.12368098625,"[2.0, 50]",0.1355946537275868,-0.05610101951715069,3
46,BTTCUSDT,KNCUSDT,0.000004277021885531554,1727740799999,1740700799999,150,50,11287.418913893065,10176.795423865467,"[2.0, 50]",0.12916091206323999,0.034618946500939114,3
47,BAKEUSDT,LISTAUSDT,0.000004402320290734972,1727740799999,1740700799999,150,50,12505.026163382927,9796.83107759705,"[2.0, 50]",0.12143489511823019,-0.025163187994300416,3
48,CHRUSDT,TLMUSDT,0.000004468490920843207,1727740799999,1740700799999,150,50,11769.690089906246,10335.337759297503,"[2.0, 50]",0.15172743735703756,0.1652776177076346,3
49,ACMUSDT,YGGUSDT,0.0000045187854009130645,1727740799999,1740700799999,150,50,10372.0990366758,11069.769395131807,"[2.0, 50]",0.02130053828287217,0.12596845148102892,3
