,Train Start Time,Train End Time,Train Wallet,Train Hodling Wallet,Train Portfolio Pairs,Test Start Time,Test End Time,Test Wallet,Test Hodling Wallet,Beat the Market
0,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,14949.85578403363,14364.752985473064,,2024-11-19 23:59:59.999000,2025-01-08 23:59:59.999000,10117.668771493729,10297.88717006972,false
1,2024-08-11 23:59:59.999000,2025-01-08 23:59:59.999000,18411.223111447365,16190.839136886996,,2025-01-08 23:59:59.999000,2025-02-27 23:59:59.999000,10108.60541367492,8911.0074088521,true
2,2024-09-30 23:59:59.999000,2025-02-27 23:59:59.999000,16604.919529717867,13376.251962217415,,2025-02-27 23:59:59.999000,2025-04-18 23:59:59.999000,10347.571174507264,9972.38886544905,true
3,2024-11-19 23:59:59.999000,2025-04-18 23:59:59.999000,13887.000277403116,9151.117653743404,,2025-04-18 23:59:59.999000,2025-06-07 23:59:59.999000,10438.411222125775,12507.638678520156,false
