,Train Start Time,Train End Time,Train Wallet,Train Hodling Wallet,Train Portfolio Pairs,Test Start Time,Test End Time,Test Wallet,Test Hodling Wallet,Beat the Market
0,2024-06-22 23:59:59.999000,2024-11-19 23:59:59.999000,11590.255351050508,14364.752985473064,,2024-11-19 23:59:59.999000,2025-01-08 23:59:59.999000,9971.988087011741,10297.88717006972,false
1,2024-08-11 23:59:59.999000,2025-01-08 23:59:59.999000,13455.66072421892,16190.839136886996,,2025-01-08 23:59:59.999000,2025-02-27 23:59:59.999000,9970.521034617472,8911.0074088521,true
2,2024-09-30 23:59:59.999000,2025-02-27 23:59:59.999000,11794.417129285242,13376.251962217415,,2025-02-27 23:59:59.999000,2025-04-18 23:59:59.999000,10296.120664865171,9972.38886544905,true
3,2024-11-19 23:59:59.999000,2025-04-18 23:59:59.999000,11063.413683928418,9151.117653743404,,2025-04-18 23:59:59.999000,2025-06-07 23:59:59.999000,10414.894708063897,12507.638678520156,false
